PXC000~LEGEND {"0":"edit:view","1":"edit:create","2":"python","3":"edit:str_replace","4":"none","5":"submit","6":"rm","7":"git","8":"grep","9":"find","10":"sed","11":"ls","12":"python3","13":"tail","14":"pip","15":"psql","16":"hostname","17":"awk","18":"PYTHONPATH=/testbed","19":"mkdir","20":"head","21":"pwd","22":"wc","23":"timeout","24":"cat","25":"python2","26":"echo","27":"cp"}
astropy__astropy-12907 S aaaabcaabcddcabcdcccbcbcccccadcccbcefcghhccahhhaacchhf
astropy__astropy-13033 F aabcaaaadcbcbcbcdccccaiaabccbcaadccccbcdccccbcbccfcghhhhhhhhhhhhhhhhhbcgcf
astropy__astropy-13236 F jjjjaaiaaaiaiabcdcbcbcbcbccccjcaicicicbcbcbccbcfghbcgf
astropy__astropy-13398 F aaaaaaaaaiaabcccbadbcabcadbcbcdcjccabcdcdcdccbcdbcadcdcaabcbcbcbcadbcdbcbcccccccccbcdddcbcefe
astropy__astropy-13453 S jjabcaaaiaiaiiaiaaaiajiaiaaaiaaiaaiaaadcbcbccccicbccdccbcbccbcefcghf
astropy__astropy-13579 S aabcdcaaaddcaaabcbcaadcc~END000
PXC001~dcbcdbcdcdcbcdccccccbcdcdccbcbcddcbcadcbccccbccefghbcgf
astropy__astropy-13977 F aaaiajaiaaiaabcaiaaiidcbcdccbcccchchcccccbcbcbcdcaadccchchdccccccahchcdccccccfcghf
astropy__astropy-14096 S aaaiaabcbcabcbcbcbcaddccbcbccccbcccbccfcghf
astropy__astropy-14182 F aaaaiaabcdcabcciaaabcaadccbcdcbcccbccbcciiiciiiiiiiccbcbcfcghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbcgcf
astropy__astropy-14309 S aaaaaaabchhhdcaaabcbcdccbcdcadcdcccjjccbccfcghhhhhhhhhhhhhhhhhhhhhhddbcghhf
astropy__astropy-14365 F jaaiabcadcbcdccbcciibccccbcdcefcghf
astropy__astropy-14369 F jjjjaaaibcjjabcjiiiiikbcabcaccibcbcdjjccbcccbcbccccefgbcghf
astropy__astropy-14508 S aaaiaabciiiiabcadcbcbcbcbcbccjjjiciicciiccabcdccccccbccbcefcghf
astropy__astropy-14539 S aaaiaaabcbcbcadcbcbcbccbcjiiccfghbcgf
astropy__astropy-14598 F jaaaiaaaiaiaabcbciaiabcaabcddccddcbcadcdccbcbccccbccefghbcgf
astropy__astropy-14995 S aabcajaaiaaiaiaabcdcbcbcccbccb~END001
